snapshot_date,month,universe_type,asset_class,asset_count,market_cap_usd,total_market_cap_usd,market_cap_share
2024-06-30,2024-06,ex_stable_top100,wrapped_assets,2,14084644204.027124,2094456405022.3064,0.006724725408585012
2024-06-30,2024-06,full_top100,base_assets,8,1816173466263.085,2246549344332.266,0.8084280324601104
2024-06-30,2024-06,full_top100,lst_restaking,6,42024068640.59754,2246549344332.266,0.018706051904276426
2024-06-30,2024-06,full_top100,risk_assets,79,218455638804.28238,2246549344332.266,0.09724052549988087
2024-06-30,2024-06,full_top100,stablecoins,5,155811526420.27402,2246549344332.266,0.06935593327311727
2024-06-30,2024-06,full_top100,wrapped_assets,2,14084644204.027124,2246549344332.266,0.006269456862614987
2024-07-31,2024-07,clean_risk_top100,base_assets,8,1937195517769.1384,2162582774315.915,0.8957786683480484
2024-07-31,2024-07,clean_risk_top100,risk_assets,92,225387256546.77664,2162582774315.915,0.10422133165195163
2024-07-31,2024-07,ex_stable_top100,base_assets,8,1937195517769.1384,2212075958529.074,0.8757364367620006
2024-07-31,2024-07,ex_stable_top100,lst_restaking,8,40995766818.493195,2212075958529.074,0.018532712070951415
2024-07-31,2024-07,ex_stable_top100,risk_assets,82,218555615061.42523,2212075958529.074,0.09880113484292573
2024-07-31,2024-07,ex_stable_top100,wrapped_assets,2,15329058880.017311,2212075958529.074,0.006929716324122256
2024-07-31,2024-07,full_top100,base_assets,8,1937195517769.1384,2366778764350.923,0.8184945491939144
2024-07-31,2024-07,full_top100,lst_restaking,7,40246008935.965614,2366778764350.923,0.01700455046418455
2024-07-31,2024-07,full_top100,risk_assets,78,215602614987.0025,2366778764350.923,0.0910953817207036
2024-07-31,2024-07,full_top100,stablecoins,5,158405563778.7991,2366778764350.923,0.06692875826196668
2024-07-31,2024-07,full_top100,wrapped_assets,2,15329058880.017311,2366778764350.923,0.006476760359230799
2024-08-31,2024-08,clean_risk_top100,base_assets,8,1675330646178.059,1870990248025.1523,0.8954245742041607
2024-08-31,2024-08,clean_risk_top100,risk_assets,92,195659601847.09335,1870990248025.1523,0.10457542579583934
2024-08-31,2024-08,ex_stable_top100,base_assets,8,1675330646178.059,1927203940192.0696,0.8693063620506566
2024-08-31,2024-08,ex_stable_top100,lst_restaking,8,41020166093.2085,1927203940192.0696,0.02128480812939825
2024-08-31,2024-08,ex_stable_top100,risk_assets,79,187884803588.755,1927203940192.0696,0.09749087767536942
2024-08-31,2024-08,ex_stable_top100,wrapped_assets,5,22968324332.047115,1927203940192.0696,0.011917952144575856
2024-08-31,2024-08,full_top100,base_assets,8,1675330646178.059,2088178162646.359,0.8022929633814885
2024-08-31,2024-08,full_top100,lst_restaking,6,39690935555.395325,2088178162646.359,0.01900744690534202
2024-08-31,2024-08,full_top100,risk_assets,74,184502069680.0091,2088178162646.359,0.08835552108551345
2024-08-31,2024-08,full_top100,stablecoins,7,165686186900.8482,2088178162646.359,0.07934485182570497
2024-08-31,2024-08,full_top100,wrapped_assets,5,22968324332.047115,2088178162646.359,0.010999216801951055
2024-09-30,2024-09,clean_risk_top100,base_assets,8,1849560660843.846,2082974836214.5024,0.8879419130214496
2024-09-30,2024-09,clean_risk_top100,risk_assets,92,233414175370.6566,2082974836214.5024,0.11205808697855045
2024-09-30,2024-09,ex_stable_top100,base_assets,8,1849560660843.846,2141087162000.2126,0.8638418340316322
2024-09-30,2024-09,ex_stable_top100,lst_restaking,7,42558225288.316414,2141087162000.2126,0.01987692329562069
2024-09-30,2024-09,ex_stable_top100,risk_assets,81,225231126521.15945,2141087162000.2126,0.10519474896610355
2024-09-30,2024-09,ex_stable_top100,wrapped_assets,4,23737149346.890842,2141087162000.2126,0.011086493706643637
2024-09-30,2024-09,full_top100,base_assets,8,1849560660843.846,2303670843674.3027,0.8028754046710244
2024-09-30,2024-09,full_top100,lst_restaking,7,42558225288.316414,2303670843674.3027,0.018474091211935908
2024-09-30,2024-09,full_top100,risk_assets,76,221208512839.29153,2303670843674.3027,0.09602435757986544
2024-09-30,2024-09,full_top100,stablecoins,5,166606295355.95816,2303670843674.3027,0.07232209228737943
2024-09-30,2024-09,full_top100,wrapped_assets,4,23737149346.890842,2303670843674.3027,0.010304054249794917
2024-10-31,2024-10,clean_risk_top100,base_assets,8,1981371274236.3403,2210831093806.6484,0.8962110582698473
2024-10-31,2024-10,clean_risk_top100,risk_assets,92,229459819570.30835,2210831093806.6484,0.10378894173015286
2024-10-31,2024-10,ex_stable_top100,base_assets,8,1981371274236.3403,2270708758643.432,0.8725783377961919
2024-10-31,2024-10,ex_stable_top100,lst_restaking,7,42618536204.51176,2270708758643.432,0.01876882539087617
2024-10-31,2024-10,ex_stable_top100,risk_assets,80,220768550766.18567,2270708758643.432,0.09722451191762581
2024-10-31,2024-10,ex_stable_top100,wrapped_assets,5,25950397436.39422,2270708758643.432,0.011428324895306045
2024-10-31,2024-10,full_top100,base_assets,8,1981371274236.3403,2435516863207.545,0.813532151703889
2024-10-31,2024-10,full_top100,lst_restaking,7,42618536204.51176,2435516863207.545,0.017498764573686296
2024-10-31,2024-10,full_top100,risk_assets,74,215975769091.5932,2435516863207.545,0.088677591337699
2024-10-31,2024-10,full_top100,stablecoins,6,169600886238.70563,2435516863207.545,0.06963650664908286
2024-10-31,2024-10,full_top100,wrapped_assets,5,25950397436.39422,2435516863207.545,0.010654985735642936
2024-11-30,2024-11,clean_risk_top100,base_assets,8,2743097096010.7095,3137739353594.27,0.8742272020996584
2024-11-30,2024-11,clean_risk_top100,risk_assets,92,394642257583.56067,3137739353594.27,0.12577279790034163
2024-11-30,2024-11,ex_stable_top100,base_assets,8,2743097096010.7095,3217407534459.593,0.8525799317093505
2024-11-30,2024-11,ex_stable_top100,lst_restaking,7,58211237418.75437,3217407534459.593,0.018092590632455188
2024-11-30,2024-11,ex_stable_top100,risk_assets,80,381380838782.91895,3217407534459.593,0.11853668977218239
2024-11-30,2024-11,ex_stable_top100,wrapped_assets,5,34718362247.20975,3217407534459.593,0.010790787886011824
2024-11-30,2024-11,full_top100,base_assets,8,2743097096010.7095,3398191360671.458,0.8072226678454898
2024-11-30,2024-11,full_top100,lst_restaking,5,55682422776.715454,3398191360671.458,0.016385899693922183
2024-11-30,2024-11,full_top100,risk_assets,76,376265026784.98944,3398191360671.458,0.11072508486121341
2024-11-30,2024-11,full_top100,stablecoins,6,188428452851.83365,3398191360671.458,0.05544962977441081
2024-11-30,2024-11,full_top100,wrapped_assets,5,34718362247.20975,3398191360671.458,0.010216717824963703
2024-12-31,2024-12,clean_risk_top100,base_assets,8,2608075699254.3955,2969247187382.957,0.8783626066353567
2024-12-31,2024-12,clean_risk_top100,risk_assets,92,361171488128.56177,2969247187382.957,0.1216373933646434
2024-12-31,2024-12,ex_stable_top100,base_assets,8,2608075699254.3955,3043254171597.457,0.8570022588305107
2024-12-31,2024-12,ex_stable_top100,lst_restaking,8,55275048678.45167,3043254171597.457,0.018163139048434074
2024-12-31,2024-12,ex_stable_top100,risk_assets,79,347703614418.8892,3043254171597.457,0.1142538857463797
2024-12-31,2024-12,ex_stable_top100,wrapped_assets,5,32199809245.720425,3043254171597.457,0.010580716374675397
2024-12-31,2024-12,full_top100,base_assets,8,2608075699254.3955,3236344551355.054,0.8058708391114898
2024-12-31,2024-12,full_top100,lst_restaking,7,54110769226.29455,3236344551355.054,0.016719718301822475
2024-12-31,2024-12,full_top100,risk_assets,73,340816267320.27924,3236344551355.054,0.10530901821858857
2024-12-31,2024-12,full_top100,stablecoins,6,199364779223.02295,3236344551355.054,0.061601839995543466
2024-12-31,2024-12,full_top100,synthetic_stables,1,1777227085.341623,3236344551355.054,0.0005491464388726781
2024-12-31,2024-12,full_top100,wrapped_assets,5,32199809245.720425,3236344551355.054,0.00994943793368305
2025-01-31,2025-01,clean_risk_top100,base_assets,8,2928610949109.563,3295534248446.1094,0.8886604502715892
2025-01-31,2025-01,clean_risk_top100,risk_assets,92,366923299336.5465,3295534248446.1094,0.1113395497284108
2025-01-31,2025-01,ex_stable_top100,base_assets,8,2928610949109.563,3371443231031.95,0.8686520129283498
2025-01-31,2025-01,ex_stable_top100,lst_restaking,9,55270707349.283905,3371443231031.95,0.016393782591547994
2025-01-31,2025-01,ex_stable_top100,risk_assets,78,353333171467.5366,3371443231031.95,0.10480175617828405
2025-01-31,2025-01,ex_stable_top100,wrapped_assets,5,34228403105.56652,3371443231031.95,0.01015244830181812
2025-01-31,2025-01,full_top100,base_assets,8,2928610949109.563,3576168064483.1104,0.8189243056542022
2025-01-31,2025-01,full_top100,lst_restaking,8,54181102139.00672,3576168064483.1104,0.015150602869341912
2025-01-31,2025-01,full_top100,risk_assets,71,345472050437.9583,3576168064483.1104,0.09660397503938113
2025-01-31,2025-01,full_top100,stable_yield_tokens,1,1730407400.3620954,3576168064483.1104,0.0004838719459378103
2025-01-31,2025-01,full_top100,stablecoins,6,210747146138.92282,3576168064483.1104,0.05893099606586405
2025-01-31,2025-01,full_top100,synthetic_stables,1,1198006151.7308967,3576168064483.1104,0.00033499716180258806
2025-01-31,2025-01,full_top100,wrapped_assets,5,34228403105.56652,3576168064483.1104,0.009571251263470415
2025-02-28,2025-02,clean_risk_top100,base_assets,8,2283916386463.7993,2552294318445.4897,0.8948483605350226
2025-02-28,2025-02,clean_risk_top100,risk_assets,92,268377931981.69055,2552294318445.4897,0.10515163946497748
2025-02-28,2025-02,ex_stable_top100,base_assets,8,2283916386463.7993,2608747461334.424,0.8754838942116432
2025-02-28,2025-02,ex_stable_top100,lst_restaking,8,38477277464.45784,2608747461334.424,0.014749330103718044
2025-02-28,2025-02,ex_stable_top100,risk_assets,79,260202488366.8933,2608747461334.424,0.09974230630733218
2025-02-28,2025-02,ex_stable_top100,wrapped_assets,5,26151309039.27355,2608747461334.424,0.010024469377306708
2025-02-28,2025-02,full_top100,base_assets,8,2283916386463.7993,2823315880699.37,0.808948230722963
2025-02-28,2025-02,full_top100,lst_restaking,8,38477277464.45784,2823315880699.37,0.013628399757708494
2025-02-28,2025-02,full_top100,risk_assets,71,254200772571.70505,2823315880699.37,0.09003624932989658
2025-02-28,2025-02,full_top100,stable_yield_tokens,1,2910040494.5549216,2823315880699.37,0.0010307172904202519
2025-02-28,2025-02,full_top100,stablecoins,6,216574696951.58768,2823315880699.37,0.07670933969242558
